db_name,ms_name,accuracy(SMAPE),accuracy(RMSE)
병합,병합,91.99870997370158,2.762131559477785
도서관,ICW0W2000087,93.37521361103443,2.784761029468714
도서관,ICW0W2000088,93.13823679672288,3.270150947822159
도서관,ICW0W2000089,93.55708558848298,2.2315973571481873
도서관,ICW0W2000094,84.61949152417499,3.276311416700224
도서관,ICW0W2000095,85.14867092878539,3.2049757496686793
도서관,ICW0W2000096,83.95728703315447,3.450808361979495
도서관,ICW0W2000097,95.00497272874827,2.7001101678686776
도서관,ICW0W2000098,91.93074696413815,2.778383054012086
도서관,ICW0W2000099,96.48258679853764,2.6443597670306334
도서관,ICW0W2000100,95.98081507601589,2.9226162990517377
도서관,ICW0W2000101,96.00454078456232,2.905782454927133
도서관,ICW0W2000102,97.5327218470018,1.619492440577338
도서관,ICW0W2000108,90.14581688296254,2.7942806598952106
도서관,ICW0W2000128,90.07029103535791,2.4086839493842236
도서관,ICW0W2000129,82.78083392638322,2.7314828053562996
중학교,ICW0W2000010,88.68111996109494,2.48463309345711
중학교,ICW0W2000011,86.64744869041213,2.6094099830665196
중학교,ICW0W2000013,85.75184900128426,2.7381931053936923
중학교,ICW0W2000014,87.79493448075054,3.0558036505010486
중학교,ICW0W2000015,84.6149824902064,2.8611449396077417
중학교,ICW0W2000018,84.13282689990835,2.8015641400787525
중학교,ICW0W2000019,85.01983964776883,2.826469761509713
중학교,ICW0W2000020,92.80166800644614,2.32228031498477
체육시설,ICW0W2001036,92.62649793150226,2.5216181541915614
체육시설,ICW0W2001037,90.64585202679147,2.7679709935430026
체육시설,ICW0W2001043,94.41359307023278,2.0868626030589263
체육시설,ICW0W2001044,95.32187104058735,1.9986432313990423
초등학교,ICW0W2000022,93.83423147694967,3.0206652141197106
초등학교,ICW0W2000023,89.11215352869098,2.7688866728441126
초등학교,ICW0W2000024,90.61695017758669,2.4552282526629434
초등학교,ICW0W2000025,92.33804195392186,2.6701212320179843
초등학교,ICW0W2000031,85.5711077804414,2.8390478816577467
초등학교,ICW0W2000034,94.76927824818236,2.7482951099369766
