time,in_co2,in_humi,in_pm10,in_temp,in_voc,Y_pm10
2020-11-01 00:00:00+00:00,459.7547169811321,33.0,3.3773584905660377,21.33962264150944,38.50943396226416,3.0
2020-11-01 01:00:00+00:00,460.6333333333333,33.516666666666666,3.0,21.471666666666668,5.05,3.0166666666666666
2020-11-01 02:00:00+00:00,462.7166666666666,33.3,3.0166666666666666,21.91333333333333,6.766666666666667,2.9322033898305087
2020-11-01 03:00:00+00:00,466.33898305084745,33.0,2.9322033898305087,22.496610169491525,6.084745762711864,2.85
2020-11-01 04:00:00+00:00,466.48333333333335,32.8,2.85,22.935,7.95,2.8
2020-11-01 05:00:00+00:00,468.1,32.0,2.8,23.465,8.05,2.533333333333333
2020-11-01 06:00:00+00:00,468.5833333333333,32.0,2.533333333333333,23.99,8.366666666666667,2.7333333333333334
2020-11-01 07:00:00+00:00,469.5833333333333,31.883333333333333,2.7333333333333334,24.295,8.8,3.433333333333333
2020-11-01 08:00:00+00:00,467.75,32.0,3.433333333333333,24.438333333333333,19.116666666666667,4.2
2020-11-01 09:00:00+00:00,458.9,32.0,4.2,24.53333333333333,46.3,4.35
2020-11-01 10:00:00+00:00,447.23333333333335,32.13333333333333,4.35,24.59666666666667,80.65,3.216666666666667
2020-11-01 11:00:00+00:00,443.51666666666665,33.0,3.216666666666667,24.501666666666665,95.85,3.0
2020-11-01 12:00:00+00:00,440.6271186440678,33.0,3.0,24.383050847457625,24.35593220338983,3.15
2020-11-01 13:00:00+00:00,435.81666666666666,33.06666666666667,3.15,24.26333333333333,3.866666666666666,3.066666666666667
2020-11-01 14:00:00+00:00,433.78333333333336,34.0,3.066666666666667,24.096666666666668,12.6,2.95
2020-11-01 15:00:00+00:00,436.28333333333336,34.1,2.95,23.96833333333333,26.633333333333333,2.6666666666666665
2020-11-01 16:00:00+00:00,436.55,35.0,2.6666666666666665,23.82333333333333,32.25,1.8333333333333333
2020-11-01 17:00:00+00:00,432.3833333333333,35.0,1.8333333333333333,23.676666666666662,23.15,1.0166666666666666
2020-11-01 18:00:00+00:00,429.1,35.81666666666667,1.0166666666666666,23.53666666666667,15.1,0.85
2020-11-01 19:00:00+00:00,429.9166666666667,36.0,0.85,23.40333333333333,9.35,0.1166666666666666
2020-11-01 20:00:00+00:00,429.4,36.03333333333333,0.1166666666666666,23.265,9.0,0.45
2020-11-01 21:00:00+00:00,428.3833333333333,37.0,0.45,23.055,7.4,0.8333333333333334
2020-11-01 22:00:00+00:00,427.5833333333333,37.0,0.8333333333333334,22.87333333333333,11.566666666666666,1.0
2020-11-01 23:00:00+00:00,428.6166666666667,37.0,1.0,22.723333333333336,17.133333333333333,1.0754716981132075
2020-11-02 00:00:00+00:00,431.33962264150944,37.0,1.0754716981132075,22.8245283018868,8.037735849056604,1.55
2020-11-02 01:00:00+00:00,436.6333333333333,36.86666666666667,1.55,23.115,3.9,2.0166666666666666
2020-11-02 02:00:00+00:00,441.76666666666665,35.93333333333333,2.0166666666666666,23.475,6.4,2.4237288135593222
2020-11-02 03:00:00+00:00,445.2881355932203,34.69491525423729,2.4237288135593222,23.85254237288136,5.864406779661017,2.283333333333333
2020-11-02 04:00:00+00:00,441.55,33.65,2.283333333333333,24.135,4.433333333333334,2.216666666666667
2020-11-02 05:00:00+00:00,438.6333333333333,33.0,2.216666666666667,24.195,5.6,2.6
2020-11-02 06:00:00+00:00,440.31666666666666,32.93333333333333,2.6,24.136666666666667,5.883333333333334,3.966666666666667
2020-11-02 07:00:00+00:00,442.6166666666667,32.016666666666666,3.966666666666667,24.25,4.616666666666666,12.183333333333334
2020-11-02 08:00:00+00:00,482.76666666666665,31.666666666666668,12.183333333333334,24.291666666666668,382.5833333333333,27.166666666666668
2020-11-02 09:00:00+00:00,756.75,31.5,27.166666666666668,25.73166666666667,1518.2833333333333,24.6
2020-11-02 10:00:00+00:00,625.1916666666666,29.6,24.6,27.696666666666665,418.25,15.05
2020-11-02 11:00:00+00:00,493.6333333333333,22.95,15.05,27.558333333333334,110.65,8.627118644067796
2020-11-02 12:00:00+00:00,509.0,19.38983050847457,8.627118644067796,27.015254237288136,66.98305084745763,9.8
2020-11-02 13:00:00+00:00,487.85,20.566666666666663,9.8,27.453333333333333,740.1833333333333,9.3
2020-11-02 14:00:00+00:00,466.7,19.766666666666666,9.3,27.151666666666664,137.38333333333333,3.7
2020-11-02 15:00:00+00:00,445.55,17.716666666666665,3.7,25.636666666666667,10.933333333333334,0.7333333333333333
2020-11-02 16:00:00+00:00,496.9166666666667,19.433333333333334,0.7333333333333333,25.48166666666667,221.35,23.78333333333333
2020-11-02 17:00:00+00:00,526.0833333333334,20.716666666666665,23.78333333333333,25.60166666666667,447.4,44.95
2020-11-02 18:00:00+00:00,542.0666666666667,22.4,44.95,25.5,767.05,38.7
2020-11-02 19:00:00+00:00,536.9333333333333,23.5,38.7,25.185,749.6333333333333,11.066666666666666
2020-11-02 20:00:00+00:00,495.98333333333335,24.0,11.066666666666666,24.61,526.8166666666667,3.1166666666666667
2020-11-02 21:00:00+00:00,461.8666666666667,24.616666666666667,3.1166666666666667,24.075,417.9,2.0166666666666666
2020-11-02 22:00:00+00:00,453.9333333333333,25.0,2.0166666666666666,23.67666666666667,377.5,1.5
2020-11-02 23:00:00+00:00,449.6,25.766666666666666,1.5,23.425,368.1666666666667,1.0169491525423728
2020-11-03 00:00:00+00:00,447.6101694915254,26.89830508474576,1.0169491525423728,23.37457627118644,84.91525423728814,0.7
