time,in_co2,in_humi,in_pm10,in_temp,in_voc
2020-06-01 00:00:00+00:00,424.1333333333333,40.8,14.666666666666666,28.026666666666664,8.033333333333333
2020-06-01 01:00:00+00:00,421.51666666666665,41.65,12.216666666666667,27.778333333333332,12.633333333333333
2020-06-01 02:00:00+00:00,419.52542372881356,42.3728813559322,10.440677966101696,27.481355932203392,6.966101694915254
2020-06-01 03:00:00+00:00,417.76666666666665,43.0,9.466666666666667,27.221666666666668,5.466666666666667
2020-06-01 04:00:00+00:00,417.23333333333335,43.75,8.716666666666667,27.055,17.95
2020-06-01 05:00:00+00:00,415.96666666666664,44.1,7.533333333333333,26.84,13.966666666666667
2020-06-01 06:00:00+00:00,415.0833333333333,44.61666666666667,6.2,26.779999999999998,12.9
2020-06-01 07:00:00+00:00,416.55,43.35,6.1,27.521666666666665,66.21666666666667
2020-06-01 08:00:00+00:00,415.65,39.95,6.433333333333334,29.628333333333334,92.35
2020-06-01 09:00:00+00:00,415.18333333333334,35.88333333333333,6.1,32.10433333333334,127.7
2020-06-01 10:00:00+00:00,414.8833333333333,34.416666666666664,6.683333333333334,32.82,100.7
2020-06-01 11:00:00+00:00,414.18333333333334,33.46666666666667,6.1,32.550333333333334,64.76666666666667
2020-06-01 12:00:00+00:00,410.53333333333336,33.0,5.833333333333333,31.911166666666666,16.783333333333335
2020-06-01 13:00:00+00:00,412.56666666666666,33.016666666666666,4.483333333333333,31.34333333333333,13.933333333333334
2020-06-01 14:00:00+00:00,413.1694915254237,33.0,2.711864406779661,30.889830508474578,8.05084745762712
2020-06-01 15:00:00+00:00,411.9,32.65,1.4666666666666666,30.636666666666667,5.333333333333333
2020-06-01 16:00:00+00:00,411.03333333333336,32.93333333333333,1.4333333333333333,30.336666666666666,7.133333333333334
2020-06-01 17:00:00+00:00,413.8,33.15,1.9166666666666667,29.851666666666667,31.666666666666668
2020-06-01 18:00:00+00:00,417.78333333333336,34.15,2.683333333333333,29.525,133.36666666666667
2020-06-01 19:00:00+00:00,416.48333333333335,35.35,2.6166666666666667,29.098333333333336,221.88333333333333
