time,in_co2,in_humi,in_pm10,in_temp,in_voc,Y_pm10
2020-06-01 00:00:00+00:00,445.9666666666666,42.65,27.566666666666663,27.60166666666667,47.78333333333333,24.183333333333334
2020-06-01 01:00:00+00:00,444.75,43.78333333333333,24.183333333333334,27.59666666666667,45.48333333333333,20.05
2020-06-01 02:00:00+00:00,442.06666666666666,44.25,20.05,27.521666666666665,22.516666666666666,18.6
2020-06-01 03:00:00+00:00,441.0833333333333,45.0,18.6,27.5,24.683333333333334,16.9
2020-06-01 04:00:00+00:00,440.4666666666666,45.0,16.9,27.49,30.65,15.966666666666669
2020-06-01 05:00:00+00:00,439.4666666666666,45.0,15.966666666666669,27.401666666666664,35.55,13.898305084745765
2020-06-01 06:00:00+00:00,439.5084745762712,45.0,13.898305084745765,27.4,14.59322033898305,13.25
2020-06-01 07:00:00+00:00,438.7166666666666,44.71666666666667,13.25,27.42333333333333,10.966666666666669,13.933333333333334
2020-06-01 08:00:00+00:00,439.9333333333333,44.0,13.933333333333334,27.55166666666667,26.166666666666668,16.883333333333333
2020-06-01 09:00:00+00:00,441.9166666666667,43.38333333333333,16.883333333333333,27.76833333333333,42.53333333333333,15.75
2020-06-01 10:00:00+00:00,439.35,42.9,15.75,28.061666666666667,40.46666666666667,12.866666666666667
2020-06-01 11:00:00+00:00,451.6166666666667,40.7,12.866666666666667,27.61,73.86666666666666,11.0
2020-06-01 12:00:00+00:00,447.6666666666667,39.56666666666667,11.0,28.126666666666665,50.88333333333333,9.35
2020-06-01 13:00:00+00:00,441.15,38.65,9.35,28.308333333333334,59.71666666666667,7.283333333333333
2020-06-01 14:00:00+00:00,440.95,37.766666666666666,7.283333333333333,28.433333333333334,68.11666666666666,5.8
2020-06-01 15:00:00+00:00,439.3,37.11666666666667,5.8,28.4,84.46666666666667,4.416666666666667
2020-06-01 16:00:00+00:00,437.1333333333333,36.516666666666666,4.416666666666667,28.405,68.45,3.616666666666666
2020-06-01 17:00:00+00:00,437.1,35.583333333333336,3.616666666666666,28.4,34.43333333333333,3.440677966101695
