time,in_pm10_min,in_pm10_max,in_voc_min,Y_pm10,in_pm10_Seasonal_Trend
2020-11-01 00:00:00+00:00,24.0,30.0,42.0,25.53333333333333,25.759176089772275
2020-11-01 01:00:00+00:00,24.0,29.0,36.0,23.610169491525426,24.565531208661337
2020-11-01 02:00:00+00:00,21.0,27.0,0.0,21.766666666666666,23.397589610737118
2020-11-01 03:00:00+00:00,20.0,25.0,3.0,20.15254237288136,22.41314811969777
2020-11-01 04:00:00+00:00,18.0,22.0,5.0,18.85,21.138068454848366
2020-11-01 05:00:00+00:00,17.0,21.0,11.0,18.23333333333333,20.7927046918676
2020-11-01 06:00:00+00:00,16.0,21.0,8.0,18.58333333333333,21.578374237651982
2020-11-01 07:00:00+00:00,16.0,22.0,7.0,25.6,22.41010425764961
2020-11-01 08:00:00+00:00,21.0,31.0,10.0,29.216666666666665,22.601810466127045
2020-11-01 09:00:00+00:00,25.0,34.0,18.0,26.516666666666666,22.821964106298058
2020-11-01 10:00:00+00:00,22.0,34.0,48.0,21.383333333333333,23.33514166287775
2020-11-01 11:00:00+00:00,18.0,24.0,57.0,20.1,23.348480077124393
2020-11-01 12:00:00+00:00,18.0,22.0,65.0,20.25,22.041211552238867
2020-11-01 13:00:00+00:00,19.0,22.0,61.0,19.135593220338983,20.516429120622117
2020-11-01 14:00:00+00:00,17.0,22.0,0.0,18.933333333333334,18.836254378714987
2020-11-01 15:00:00+00:00,18.0,22.0,3.0,18.65,17.24022854522309
2020-11-01 16:00:00+00:00,16.0,21.0,8.0,13.683333333333334,15.67228694729887
2020-11-01 17:00:00+00:00,11.0,17.0,5.0,10.1,14.130702599116656
2020-11-01 18:00:00+00:00,9.0,12.0,8.0,8.833333333333334,12.607681045647395
2020-11-01 19:00:00+00:00,7.0,10.0,11.0,7.883333333333334,11.157555377904721
2020-11-01 20:00:00+00:00,7.0,9.0,11.0,8.933333333333334,10.389915803430833
2020-11-01 21:00:00+00:00,8.0,11.0,11.0,11.266666666666667,10.750217251999892
2020-11-01 22:00:00+00:00,10.0,13.0,14.0,13.383333333333333,12.047048561365143
2020-11-01 23:00:00+00:00,12.0,15.0,17.0,15.133333333333333,14.168130369413477
2020-11-02 00:00:00+00:00,13.0,18.0,24.0,19.066666666666663,16.771784116469355
2020-11-02 01:00:00+00:00,16.0,24.0,21.0,23.38983050847457,18.723015993185733
2020-11-02 02:00:00+00:00,20.0,26.0,0.0,24.53333333333333,19.877652230204962
2020-11-02 03:00:00+00:00,22.0,26.0,3.0,23.05084745762712,21.674298370016785
2020-11-02 04:00:00+00:00,20.0,27.0,4.0,21.83333333333333,24.41555219953823
2020-11-02 05:00:00+00:00,19.0,24.0,4.0,26.066666666666663,26.395716842236812
2020-11-02 06:00:00+00:00,21.0,35.0,1.0,33.25,29.076847076435264
2020-11-02 07:00:00+00:00,30.0,36.0,3.0,32.81666666666667,32.61859606158639
2020-11-02 08:00:00+00:00,28.0,40.0,4.0,41.86666666666667,33.355300093266436
2020-11-02 09:00:00+00:00,33.0,52.0,790.0,47.75,33.42898394933329
2020-11-02 10:00:00+00:00,28.0,66.0,261.0,28.666666666666668,32.61134437485941
2020-11-02 11:00:00+00:00,20.0,40.0,74.0,24.83333333333333,30.680362530450257
2020-11-02 12:00:00+00:00,18.0,39.0,0.0,20.45,27.04147955410122
2020-11-02 13:00:00+00:00,15.0,31.0,1.0,18.661016949152543,22.01639509903414
2020-11-02 14:00:00+00:00,6.0,34.0,0.0,7.233333333333333,16.215286941328117
2020-11-02 15:00:00+00:00,5.0,9.0,1.0,6.4,12.96877870505014
2020-11-02 16:00:00+00:00,4.0,8.0,32.0,5.566666666666666,10.137700656355086
2020-11-02 17:00:00+00:00,3.0,7.0,214.0,6.4,9.089108700928817
2020-11-02 18:00:00+00:00,5.0,9.0,368.0,7.5,8.462122013904654
2020-11-02 19:00:00+00:00,4.0,10.0,400.0,13.216666666666669,9.249429513746097
2020-11-02 20:00:00+00:00,9.0,16.0,382.0,13.2,9.910059344393302
