time,in_pm10,in_pm10_min,in_pm10_max,in_voc_min,Y_pm10
2022-05-01 00:00:00+00:00,45.2,40.0,51.0,45.0,43.333333333333336
2022-05-01 01:00:00+00:00,43.333333333333336,40.0,49.0,46.0,35.65
2022-05-01 02:00:00+00:00,35.65,28.0,44.0,48.0,27.566666666666663
2022-05-01 03:00:00+00:00,27.566666666666663,24.0,32.0,45.0,22.683333333333334
2022-05-01 04:00:00+00:00,22.683333333333334,19.0,27.0,45.0,17.0
2022-05-01 05:00:00+00:00,17.0,13.0,22.0,41.0,14.016666666666667
2022-05-01 06:00:00+00:00,14.016666666666667,11.0,16.0,39.0,13.116666666666667
2022-05-01 07:00:00+00:00,13.116666666666667,10.0,16.0,40.0,12.866666666666667
2022-05-01 08:00:00+00:00,12.866666666666667,9.0,15.0,41.0,12.333333333333334
2022-05-01 09:00:00+00:00,12.333333333333334,11.0,15.0,39.0,10.933333333333334
2022-05-01 10:00:00+00:00,10.933333333333334,8.0,13.0,18.0,11.633333333333333
2022-05-01 11:00:00+00:00,11.633333333333333,9.0,14.0,15.0,11.083333333333334
2022-05-01 12:00:00+00:00,11.083333333333334,9.0,14.0,13.0,9.75
2022-05-01 13:00:00+00:00,9.75,7.0,14.0,11.0,7.051724137931035
2022-05-01 14:00:00+00:00,7.051724137931035,5.0,10.0,12.0,6.321428571428571
2022-05-01 15:00:00+00:00,6.321428571428571,5.0,8.0,10.0,7.983333333333333
2022-05-01 16:00:00+00:00,7.983333333333333,6.0,11.0,9.0,9.466666666666669
2022-05-01 17:00:00+00:00,9.466666666666669,6.0,13.0,11.0,10.466666666666669
2022-05-01 18:00:00+00:00,10.466666666666669,7.0,12.0,10.0,12.1
2022-05-01 19:00:00+00:00,12.1,9.0,16.0,24.0,15.35
2022-05-01 20:00:00+00:00,15.35,11.0,19.0,27.0,17.53448275862069
2022-05-01 21:00:00+00:00,17.53448275862069,14.0,20.0,32.0,19.642857142857142
2022-05-01 22:00:00+00:00,19.642857142857142,17.0,23.0,34.0,20.6
2022-05-01 23:00:00+00:00,20.6,16.0,23.0,36.0,22.766666666666666
2022-05-02 00:00:00+00:00,22.766666666666666,17.0,28.0,37.0,25.516666666666666
2022-05-02 01:00:00+00:00,25.516666666666666,21.0,30.0,41.0,28.23333333333333
2022-05-02 02:00:00+00:00,28.23333333333333,25.0,31.0,42.0,29.3
2022-05-02 03:00:00+00:00,29.3,26.0,32.0,45.0,30.666666666666668
2022-05-02 04:00:00+00:00,30.666666666666668,24.0,34.0,46.0,30.716666666666665
2022-05-02 05:00:00+00:00,30.716666666666665,27.0,34.0,46.0,30.48333333333333
2022-05-02 06:00:00+00:00,30.48333333333333,27.0,34.0,48.0,36.7
2022-05-02 07:00:00+00:00,36.7,31.0,43.0,51.0,60.78333333333333
2022-05-02 08:00:00+00:00,60.78333333333333,40.0,72.0,22.0,54.75
