time,in_co2,in_humi,in_pm10,in_temp,in_voc
2022-05-01 00:00:00+00:00,337.7037037037037,38.48148148148148,42.388888888888886,19.564814814814813,108.79629629629628
2022-05-01 01:00:00+00:00,339.06666666666666,38.016666666666666,41.65,19.49833333333333,111.63333333333334
2022-05-01 02:00:00+00:00,341.71666666666664,38.0,37.56666666666667,19.4,110.33333333333331
2022-05-01 03:00:00+00:00,343.2,37.23333333333333,29.566666666666663,19.313333333333333,105.68333333333334
2022-05-01 04:00:00+00:00,343.4,37.0,23.966666666666665,19.23333333333333,102.9
2022-05-01 05:00:00+00:00,342.6666666666667,37.0,19.2,19.2,97.81666666666666
2022-05-01 06:00:00+00:00,339.31666666666666,37.0,15.5,19.183333333333334,92.46666666666668
2022-05-01 07:00:00+00:00,335.15,37.0,13.333333333333334,19.35833333333333,89.58333333333333
2022-05-01 08:00:00+00:00,334.8333333333333,36.25,13.4,19.565,76.63333333333334
2022-05-01 09:00:00+00:00,331.22222222222223,36.0,12.555555555555555,19.614814814814817,73.07407407407408
2022-05-01 10:00:00+00:00,330.76666666666665,35.666666666666664,11.6,19.68,60.23333333333333
2022-05-01 11:00:00+00:00,327.6666666666667,34.85,10.966666666666669,19.706666666666663,58.516666666666666
2022-05-01 12:00:00+00:00,324.51666666666665,33.53333333333333,10.216666666666669,19.791666666666668,60.18333333333333
2022-05-01 13:00:00+00:00,319.46666666666664,32.733333333333334,9.433333333333334,19.8,58.833333333333336
2022-05-01 14:00:00+00:00,316.43333333333334,31.98333333333333,7.75,19.811666666666667,57.71666666666667
2022-05-01 15:00:00+00:00,317.26666666666665,31.266666666666666,6.433333333333334,19.9,55.3
2022-05-01 16:00:00+00:00,316.0,31.0,5.466666666666667,20.03166666666667,54.86666666666667
2022-05-01 17:00:00+00:00,315.28333333333336,31.0,5.4,19.945,63.88333333333333
2022-05-01 18:00:00+00:00,316.4833333333333,31.016666666666666,6.05,19.74833333333333,73.61666666666666
2022-05-01 19:00:00+00:00,319.55,31.85,9.416666666666666,19.615,73.3
2022-05-01 20:00:00+00:00,318.51666666666665,33.016666666666666,10.983333333333333,19.45833333333333,88.48333333333333
2022-05-01 21:00:00+00:00,319.3666666666667,34.0,13.0,19.345,98.23333333333332
2022-05-01 22:00:00+00:00,320.05,34.93333333333333,15.283333333333331,19.255,101.63333333333334
2022-05-01 23:00:00+00:00,321.6,35.7,16.966666666666665,19.2,103.43333333333334
2022-05-02 00:00:00+00:00,322.8333333333333,36.35,20.25,19.13833333333333,102.01666666666668
2022-05-02 01:00:00+00:00,326.18333333333334,37.0,22.98333333333333,19.1,97.98333333333332
2022-05-02 02:00:00+00:00,327.0,37.7,25.516666666666666,19.041666666666668,95.45
2022-05-02 03:00:00+00:00,329.1333333333333,38.06666666666667,29.03333333333333,18.951666666666664,92.26666666666668
2022-05-02 04:00:00+00:00,331.25,39.0,30.85,18.9,89.75
2022-05-02 05:00:00+00:00,335.5833333333333,39.0,32.483333333333334,18.815,86.38333333333334
2022-05-02 06:00:00+00:00,341.71666666666664,39.0,32.583333333333336,18.816666666666663,84.41666666666667
2022-05-02 07:00:00+00:00,348.45,39.03333333333333,35.3,18.94833333333333,85.55
2022-05-02 08:00:00+00:00,590.2333333333333,41.583333333333336,,19.211666666666662,54.06666666666667
2022-05-02 09:00:00+00:00,801.3666666666667,40.766666666666666,,20.296666666666667,82.75
2022-05-02 10:00:00+00:00,534.1333333333333,35.75,,18.291666666666668,22.45
2022-05-02 11:00:00+00:00,,34.6,20.966666666666665,21.035,360.06666666666666
2022-05-02 12:00:00+00:00,,32.9,13.516666666666667,21.84,
2022-05-02 13:00:00+00:00,,30.266666666666666,18.8,21.27,350.35
2022-05-02 14:00:00+00:00,,30.05,15.083333333333334,22.141666666666666,375.3333333333333
2022-05-02 15:00:00+00:00,569.4,25.08333333333333,24.016666666666666,20.955,184.31666666666663
2022-05-02 16:00:00+00:00,425.7931034482759,26.96551724137931,20.06896551724138,20.367241379310343,126.89655172413794
2022-05-02 17:00:00+00:00,410.26666666666665,28.7,18.65,20.1,143.43333333333334
2022-05-02 18:00:00+00:00,401.4666666666666,29.75,16.283333333333335,19.87833333333333,161.05
2022-05-02 19:00:00+00:00,394.85,30.466666666666665,14.4,19.673333333333336,173.26666666666668
2022-05-02 20:00:00+00:00,388.05,31.1,12.833333333333334,19.496666666666663,192.3333333333333
2022-05-02 21:00:00+00:00,383.2166666666666,32.0,12.133333333333333,19.346666666666668,200.9833333333333
2022-05-02 22:00:00+00:00,376.35,32.016666666666666,12.183333333333334,19.238333333333333,199.86666666666667
2022-05-02 23:00:00+00:00,369.75,32.95,13.35,19.185,194.51666666666668
2022-05-03 00:00:00+00:00,364.28333333333336,33.0,13.5,19.1,195.21666666666667
2022-05-03 01:00:00+00:00,358.93333333333334,33.06666666666667,13.25,19.005,197.86666666666667
2022-05-03 02:00:00+00:00,358.53333333333336,34.0,13.066666666666666,18.956666666666663,201.05
2022-05-03 03:00:00+00:00,356.45,34.0,12.933333333333334,18.876666666666665,197.85
2022-05-03 04:00:00+00:00,354.35,34.0,14.15,18.8,192.6
2022-05-03 05:00:00+00:00,352.8333333333333,34.0,16.05,18.73,186.63333333333333
2022-05-03 06:00:00+00:00,354.1666666666667,34.71666666666667,16.55,18.74333333333333,185.1833333333333
2022-05-03 07:00:00+00:00,354.85,34.516666666666666,16.15,18.991666666666667,178.45
2022-05-03 08:00:00+00:00,528.6833333333333,36.16666666666666,28.25,19.17833333333333,77.68333333333334
