time,in_co2,in_humi,in_pm10,in_temp,in_voc,Y_pm10
2022-05-01 00:00:00+00:00,390.31666666666666,36.16666666666666,42.05,20.46833333333333,45.083333333333336,40.31666666666667
2022-05-01 01:00:00+00:00,392.06666666666666,36.0,40.31666666666667,20.35833333333333,45.46666666666667,30.98333333333333
2022-05-01 02:00:00+00:00,390.7,34.766666666666666,30.98333333333333,20.27833333333333,43.8,22.03333333333333
2022-05-01 03:00:00+00:00,390.4666666666666,34.0,22.03333333333333,20.155,41.9,17.183333333333334
2022-05-01 04:00:00+00:00,391.4333333333333,33.516666666666666,17.183333333333334,20.02,38.583333333333336,13.35
2022-05-01 05:00:00+00:00,387.6166666666667,33.0,13.35,19.951666666666664,34.95,10.8
2022-05-01 06:00:00+00:00,383.75,33.0,10.8,19.918333333333333,31.116666666666667,10.166666666666666
2022-05-01 07:00:00+00:00,380.6,33.0,10.166666666666666,20.008333333333333,31.05,9.816666666666666
2022-05-01 08:00:00+00:00,378.0833333333333,33.0,9.816666666666666,20.185,30.066666666666663,9.733333333333333
2022-05-01 09:00:00+00:00,376.9333333333333,32.7,9.733333333333333,20.391666666666666,21.766666666666666,9.15
2022-05-01 10:00:00+00:00,374.2166666666666,31.58333333333333,9.15,20.74833333333333,20.866666666666667,9.283333333333331
2022-05-01 11:00:00+00:00,373.15,28.75,9.283333333333331,21.476666666666667,18.03333333333333,8.7
2022-05-01 12:00:00+00:00,369.31666666666666,25.716666666666665,8.7,22.165000000000003,16.35,7.716666666666667
2022-05-01 13:00:00+00:00,369.15,23.666666666666668,7.716666666666667,22.523333333333333,14.983333333333333,5.816666666666666
2022-05-01 14:00:00+00:00,367.8,23.216666666666665,5.816666666666666,22.66,15.933333333333334,4.85
2022-05-01 15:00:00+00:00,367.0833333333333,23.95,4.85,22.328333333333333,19.03333333333333,4.016666666666667
2022-05-01 16:00:00+00:00,364.3,26.133333333333333,4.016666666666667,21.81,24.55,6.1
2022-05-01 17:00:00+00:00,365.7166666666666,26.45,6.1,21.298333333333336,21.58333333333333,8.433333333333334
2022-05-01 18:00:00+00:00,367.45,27.216666666666665,8.433333333333334,20.90833333333333,18.516666666666666,10.316666666666666
2022-05-01 19:00:00+00:00,369.6166666666667,28.73333333333333,10.316666666666666,20.715,20.316666666666663,13.283333333333331
2022-05-01 20:00:00+00:00,369.6833333333333,30.383333333333333,13.283333333333331,20.55666666666667,23.5,15.633333333333333
2022-05-01 21:00:00+00:00,369.3,31.616666666666667,15.633333333333333,20.438333333333333,26.05,17.866666666666667
2022-05-01 22:00:00+00:00,370.48333333333335,32.916666666666664,17.866666666666667,20.336666666666662,29.4,19.016666666666666
2022-05-01 23:00:00+00:00,371.31666666666666,33.983333333333334,19.016666666666666,20.225,31.116666666666667,21.35
2022-05-02 00:00:00+00:00,372.6666666666667,34.8,21.35,20.12333333333333,34.53333333333333,23.366666666666667
2022-05-02 01:00:00+00:00,374.3666666666667,35.333333333333336,23.366666666666667,20.045,36.43333333333333,24.3
2022-05-02 02:00:00+00:00,375.7,36.0,24.3,19.99333333333333,37.91666666666666,25.116666666666667
2022-05-02 03:00:00+00:00,376.9333333333333,36.16666666666666,25.116666666666667,19.896666666666665,39.41666666666666,26.5
2022-05-02 04:00:00+00:00,380.8833333333333,37.0,26.5,19.81833333333333,40.083333333333336,26.866666666666667
2022-05-02 05:00:00+00:00,389.6166666666667,37.0,26.866666666666667,19.711666666666662,40.43333333333333,28.73333333333333
2022-05-02 06:00:00+00:00,395.03333333333336,37.0,28.73333333333333,19.671666666666667,37.86666666666667,44.81666666666667
2022-05-02 07:00:00+00:00,399.7,37.73333333333333,44.81666666666667,19.735,28.03333333333333,45.016666666666666
2022-05-02 08:00:00+00:00,440.7,40.95,45.016666666666666,18.455,11.616666666666667,45.21666666666666
2022-05-02 09:00:00+00:00,478.6833333333333,40.31666666666667,45.21666666666666,18.21,15.466666666666669,45.41666666666666
2022-05-02 10:00:00+00:00,587.4833333333333,33.65,45.41666666666666,20.16333333333333,19.366666666666667,24.6
2022-05-02 11:00:00+00:00,541.1333333333333,27.25,24.6,20.828333333333333,25.4,17.233333333333334
2022-05-02 12:00:00+00:00,615.6166666666667,26.1,17.233333333333334,21.10333333333333,96.78333333333332,16.766666666666666
2022-05-02 13:00:00+00:00,465.9,25.816666666666663,16.766666666666666,20.945,70.85,15.133333333333333
2022-05-02 14:00:00+00:00,721.6166666666667,25.6,15.133333333333333,21.84,567.4666666666667,14.483333333333333
2022-05-02 15:00:00+00:00,650.75,24.166666666666668,14.483333333333333,22.32,1227.2666666666669,14.633333333333333
2022-05-02 16:00:00+00:00,419.31666666666666,23.98333333333333,14.633333333333333,21.508333333333333,45.45,16.483333333333334
2022-05-02 17:00:00+00:00,397.4166666666667,25.366666666666667,16.483333333333334,21.00333333333333,32.0,16.816666666666666
2022-05-02 18:00:00+00:00,382.48333333333335,25.0,16.816666666666666,20.525,14.833333333333334,17.25
2022-05-02 19:00:00+00:00,389.2166666666666,25.3,17.25,20.186666666666667,11.416666666666666,19.383333333333333
2022-05-02 20:00:00+00:00,391.23333333333335,27.183333333333334,19.383333333333333,19.85833333333333,10.266666666666667,20.683333333333334
2022-05-02 21:00:00+00:00,399.3333333333333,28.666666666666668,20.683333333333334,19.695,11.566666666666666,21.133333333333333
2022-05-02 22:00:00+00:00,390.6333333333333,29.866666666666667,21.133333333333333,19.610000000000003,12.516666666666667,22.25
2022-05-02 23:00:00+00:00,391.75,30.0,22.25,19.485,10.566666666666666,22.7
