time,in_co2,in_humi,in_pm10,in_temp,in_voc
2022-05-01 00:00:00+00:00,469.3666666666667,38.0,46.016666666666666,20.868333333333332,43.63333333333333
2022-05-01 01:00:00+00:00,471.75,38.0,44.233333333333334,20.796666666666667,45.53333333333333
2022-05-01 02:00:00+00:00,472.0,36.85,37.766666666666666,20.703333333333333,46.983333333333334
2022-05-01 03:00:00+00:00,470.75,36.0,28.5,20.625,45.266666666666666
2022-05-01 04:00:00+00:00,471.28333333333336,35.11666666666667,23.233333333333334,20.523333333333333,42.516666666666666
2022-05-01 05:00:00+00:00,469.65,35.0,18.216666666666665,20.459999999999997,38.983333333333334
2022-05-01 06:00:00+00:00,463.1,35.0,15.016666666666667,20.458333333333332,31.0
2022-05-01 07:00:00+00:00,460.03333333333336,35.0,13.433333333333334,20.601666666666667,24.283333333333335
2022-05-01 08:00:00+00:00,456.6666666666667,35.0,12.55,20.71833333333333,22.7
2022-05-01 09:00:00+00:00,453.23333333333335,34.5,12.25,20.78666666666667,21.25
2022-05-01 10:00:00+00:00,452.3333333333333,33.6,11.116666666666667,20.866666666666667,20.933333333333334
2022-05-01 11:00:00+00:00,448.25,31.383333333333333,11.75,21.02,20.366666666666667
2022-05-01 12:00:00+00:00,443.85,29.233333333333334,10.733333333333333,21.076666666666668,19.9
2022-05-01 13:00:00+00:00,440.8333333333333,28.183333333333334,9.683333333333334,21.09,19.633333333333333
2022-05-01 14:00:00+00:00,439.4,27.883333333333333,7.65,21.098333333333336,21.433333333333334
2022-05-01 15:00:00+00:00,438.3833333333333,28.133333333333333,6.066666666666666,21.175,27.383333333333333
2022-05-01 16:00:00+00:00,437.6666666666667,28.116666666666667,5.466666666666667,21.316666666666666,33.233333333333334
2022-05-01 17:00:00+00:00,438.2,28.216666666666665,6.8,21.211666666666666,33.15
2022-05-01 18:00:00+00:00,442.96666666666664,29.0,8.466666666666667,21.088333333333335,23.733333333333334
2022-05-01 19:00:00+00:00,445.0833333333333,30.316666666666666,10.666666666666666,20.928333333333335,27.833333333333332
2022-05-01 20:00:00+00:00,444.85,31.433333333333334,12.183333333333334,20.81,34.5
2022-05-01 21:00:00+00:00,445.0,32.56666666666667,13.766666666666667,20.685,43.333333333333336
2022-05-01 22:00:00+00:00,446.3833333333333,33.583333333333336,15.816666666666666,20.580000000000002,48.06666666666667
2022-05-01 23:00:00+00:00,448.0833333333333,34.516666666666666,17.1,20.5,50.38333333333333
2022-05-02 00:00:00+00:00,449.3833333333333,35.11666666666667,19.183333333333334,20.459999999999997,52.233333333333334
2022-05-02 01:00:00+00:00,450.8833333333333,35.983333333333334,21.233333333333334,20.38,53.38333333333333
2022-05-02 02:00:00+00:00,452.5833333333333,36.63333333333333,22.9,20.273333333333333,54.75
2022-05-02 03:00:00+00:00,454.45,37.016666666666666,25.033333333333335,20.191666666666666,54.833333333333336
2022-05-02 04:00:00+00:00,457.1166666666667,37.666666666666664,26.133333333333333,20.14,54.53333333333333
2022-05-02 05:00:00+00:00,464.1,38.0,27.783333333333335,20.068333333333335,52.95
2022-05-02 06:00:00+00:00,471.76666666666665,38.0,30.25,20.091666666666665,49.93333333333333
2022-05-02 07:00:00+00:00,476.21666666666664,38.7,45.86666666666667,20.186666666666667,42.416666666666664
2022-05-02 08:00:00+00:00,625.0,40.166666666666664,70.05,20.166666666666668,38.68333333333333
2022-05-02 09:00:00+00:00,940.7333333333333,40.03333333333333,65.2,21.145,82.15
2022-05-02 10:00:00+00:00,1008.6833333333333,36.85,43.483333333333334,21.898333333333333,93.46666666666667
2022-05-02 11:00:00+00:00,744.8166666666667,31.516666666666666,24.516666666666666,21.376666666666665,48.016666666666666
2022-05-02 12:00:00+00:00,1161.3,32.03333333333333,17.133333333333333,22.073333333333334,132.53333333333333
2022-05-02 13:00:00+00:00,613.5333333333333,28.566666666666666,18.383333333333333,21.44,96.98333333333333
2022-05-02 14:00:00+00:00,908.2666666666667,29.75,16.816666666666666,21.63,190.75
2022-05-02 15:00:00+00:00,1044.2,29.416666666666668,16.133333333333333,22.141666666666666,257.1166666666667
2022-05-02 16:00:00+00:00,591.0166666666667,27.533333333333335,16.1,21.509999999999998,46.416666666666664
2022-05-02 17:00:00+00:00,510.93333333333334,27.983333333333334,17.683333333333334,21.316666666666666,33.95
2022-05-02 18:00:00+00:00,489.81666666666666,28.933333333333334,17.45,21.123333333333335,38.78333333333333
2022-05-02 19:00:00+00:00,487.78333333333336,29.5,16.7,20.95,47.5
2022-05-02 20:00:00+00:00,483.4,30.0,16.816666666666666,20.80666666666667,49.05
2022-05-02 21:00:00+00:00,482.56666666666666,30.316666666666666,18.95,20.695,49.63333333333333
2022-05-02 22:00:00+00:00,479.3666666666667,31.0,19.516666666666666,20.585,50.7
2022-05-02 23:00:00+00:00,475.8833333333333,31.516666666666666,20.616666666666667,20.5,52.5
2022-05-03 00:00:00+00:00,473.21666666666664,32.0,21.566666666666666,20.4,48.93333333333333
2022-05-03 01:00:00+00:00,472.6333333333333,32.0,22.633333333333333,20.26833333333333,45.05
2022-05-03 02:00:00+00:00,477.75,32.0,24.1,20.136666666666667,45.28333333333333
2022-05-03 03:00:00+00:00,482.8833333333333,32.483333333333334,24.85,20.016666666666666,46.96666666666667
2022-05-03 04:00:00+00:00,481.8666666666667,32.61666666666667,27.616666666666667,19.955,48.46666666666667
2022-05-03 05:00:00+00:00,481.81666666666666,33.0,30.616666666666667,19.828333333333333,47.46666666666667
2022-05-03 06:00:00+00:00,485.18333333333334,33.0,31.016666666666666,19.876666666666665,49.233333333333334
